"","gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000204983","ENSG00000204983",-4.21181182031118,3.36644686636626,59.0996612103533,1.49885048718421e-14,2.22849090434548e-10
"ENSG00000275896","ENSG00000275896",-4.76892800747981,7.02697793652702,52.6431354110464,4.0000656836037e-13,2.97364882919099e-09
"ENSG00000214960","ENSG00000214960",-1.48241201078018,4.06318483792568,49.9249200459098,1.59742900951237e-12,7.91685817114328e-09
"ENSG00000232931","ENSG00000232931",-2.65170666122392,5.54707122591153,43.2397269317435,4.84273668219246e-11,1.80004522477094e-07
"ENSG00000125999","ENSG00000125999",-4.00091734019354,6.37051071811536,38.7204988557908,4.89046023990472e-10,1.45422725693807e-06
"ENSG00000152207","ENSG00000152207",-2.15686493732206,1.55379845248304,35.4591581154973,2.60454900183196e-09,6.25705395600106e-06
"ENSG00000138639","ENSG00000138639",-1.76050530252507,5.33225294912005,35.2193087402893,2.94588227683666e-09,6.25705395600106e-06
"ENSG00000166825","ENSG00000166825",6.65203009754155,8.5177307590817,33.1751507525613,8.42199517235846e-09,1.56522780278282e-05
"ENSG00000069849","ENSG00000069849",1.75564017837288,5.83937032492058,32.8924515964427,9.74007247142633e-09,1.60905997227963e-05
"ENSG00000198744","ENSG00000198744",-2.33741465148628,1.91040955250289,30.3582980367753,3.5916719772465e-08,5.34009789577009e-05
"ENSG00000197635","ENSG00000197635",3.51008665675815,6.91802660616751,29.5120270506763,5.55707908739687e-08,7.51115017012879e-05
"ENSG00000035499","ENSG00000035499",2.45181066820522,4.21223421380953,29.0538860701691,7.03927551435082e-08,8.72166236228067e-05
"ENSG00000277224","ENSG00000277224",1.65074028727143,4.78843801011914,28.8842118156891,7.68366661557455e-08,8.7877504031048e-05
"ENSG00000216809","ENSG00000216809",-1.6933277873712,1.3239559985013,28.5828456908858,8.97739884209871e-08,9.53399757030883e-05
"ENSG00000171243","ENSG00000171243",-3.31062825968451,4.43617299904036,28.3719160963923,1.00107049683878e-07,9.56276117940328e-05
"ENSG00000108244","ENSG00000108244",6.32760374438321,5.36165662131898,28.3184888705272,1.02908379654595e-07,9.56276117940328e-05
"ENSG00000203709","ENSG00000203709",-1.54278718418122,7.38355460949879,28.1658608202835,1.11351407986213e-07,9.73866314081777e-05
"ENSG00000138166","ENSG00000138166",2.38794647815607,4.97914799720938,27.6985054128626,1.41772202651512e-07,0.000117103839390149
"ENSG00000184270","ENSG00000184270",1.66875732194111,4.19256525065865,27.03458371443,1.99847713045804e-07,0.000156386094608685
