"","ID","external_gene_name","Score"
"1","Q9Y4A5-F12","TRRAP",0.000000179794895968924
"2","O94915-F4","FRYL",0.0000565133570124213
"3","Q6UX01-F1","LMBR1L",0.0000596773171286554
"4","Q9BZF2-F1","OSBPL7",0.0000819212773910504
"5","P08F94-F1","PKHD1",0.0000881649084275629
"6","Q96NH3-F1","TBC1D32",0.000124094968726238
"7","O15050-F5","TRANK1",0.000131700437787251
"8","Q5VZ89-F1","DENND4C",0.000159379975493553
"9","Q5TCS8-F1","AK9",0.000217950864137623
"10","Q9P225-F3","DNAH2",0.000223470318450939
"11","Q8N6S4-F1","ANKRD13C",0.000227971731202933
"12","A0PK00-F1","TMEM120B",0.000308365754468008
"13","O75582-F1","RPS6KA5",0.000320323097098497
"14","Q02386-F1","ZNF45",0.000342111989855724
"15","Q9P225-F8","DNAH2",0.000385789480841951
"16","Q9NZN8-F1","CNOT2",0.000386305516411642
"17","Q9P225-F2","DNAH2",0.000393497093180849
"18","P08133-F1","ANXA6",0.000477805624485567
"19","Q14690-F1","PDCD11",0.000511367054476733
"20","Q7L099-F1","RUFY3",0.000529792777416592
"21","Q6ZPD9-F1","DPY19L3",0.000539217058197782
"22","O95858-F1","TSPAN15",0.000553622792450261
"23","Q86YS7-F1","C2CD5",0.000583426381629434
"24","O75923-F1","DYSF",0.00059853861724088
"25","Q12816-F1","TRO",0.000612217032095004
"26","Q9NXL6-F1","SIDT1",0.000755518523271991
"27","O95714-F15","HERC2",0.000967030869515588
"28","Q9H7H0-F1","METTL17",0.000967163694273767
"29","P35555-F5","FBN1",0.00109321417435896
"30","Q7Z6Z7-F15","HUWE1",0.00113983642677376
"31","Q6DN90-F1","IQSEC1",0.00117663228867522
"32","O94887-F1","FARP2",0.00119297457702446
"33","Q0VDD8-F3","DNAH14",0.00119767132139655
"34","Q6TFL3-F1","CCDC171",0.00121435319692919
"35","O43520-F1","ATP8B1",0.00122392990243914
"36","Q69YN2-F1","CWF19L1",0.00123167472146035
"37","O95427-F1","PIGN",0.001272705352054
"38","P42704-F1","LRPPRC",0.001272705352054
"39","Q96H55-F1","MYO19",0.00130508706378988
"40","Q7Z388-F1","DPY19L4",0.00132035263115939
"41","Q00537-F1","CDK17",0.00137748442781029
"42","Q01118-F1","SCN7A",0.00139933439921663
"43","Q9Y616-F1","IRAK3",0.0014517407035731
"44","Q8TC07-F1","TBC1D15",0.00146480249759716
"45","Q8NHP6-F1","MOSPD2",0.00146697941319143
"46","Q8TBA6-F1","GOLGA5",0.001481657578073
"47","P35580-F1","MYH10",0.00175669240127415
"48","P35670-F1","ATP7B",0.00185549680767459
"49","Q8NEM7-F1","SUPT20H",0.00194633379342816
"50","Q0VDD8-F1","DNAH14",0.00198566960859846
"51","Q0VDD8-F11","DNAH14",0.00201388801263394
"52","Q9Y5B6-F1","PAXBP1",0.00201388801263394
"53","Q9H583-F1","HEATR1",0.00201902301333801
"54","Q5U5X0-F1","LYRM7",0.00202518458469765
"55","O94915-F6","FRYL",0.0021119989303586
"56","Q92736-F17","RYR2",0.00212028232488993
"57","Q9GZR1-F1","SENP6",0.00220828935220421
"58","Q9UIF8-F1","BAZ2B",0.00220828935220421
"59","A1A5B4-F1","ANO9",0.00221811267733422
"60","P41279-F1","MAP3K8",0.00223681583072428
"61","P08F94-F10","PKHD1",0.00225109639423733
"62","Q6ZNE5-F1","ATG14",0.00229145152858162
"63","Q8IWE5-F1","PLEKHM2",0.00232475506501579
"64","Q2TAZ0-F1","ATG2A",0.00258886216658735
"65","Q8WWZ4-F1","ABCA10",0.00269555555907449
"66","Q9NPG1-F1","FZD3",0.00278212511753423
"67","Q92543-F1","SNX19",0.00286832337771937
"68","Q7Z7M0-F5","MEGF8",0.00316088467660532
